"YEAR","PEO_ENFORCE_QUYU","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2016.0,"宝安区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"宝安区",998.0,0.0,0.0,1.0,998.0,0.0,0.0,0.0,0.0,0.0
2018.0,"宝安区",1178.0,0.0,0.0,1.0,1178.0,0.0,0.0,0.0,0.0,0.0
2019.0,"宝安区",1297.0,0.0,0.0,1.0,1297.0,0.0,0.0,0.0,0.0,0.0
2016.0,"大鹏新区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2017.0,"大鹏新区",194.0,0.0,0.0,1.0,194.0,0.0,0.0,0.0,0.0,0.0
2018.0,"大鹏新区",319.0,0.0,0.0,1.0,319.0,0.0,0.0,0.0,0.0,0.0
2019.0,"大鹏新区",328.0,0.0,0.0,1.0,328.0,0.0,0.0,0.0,0.0,0.0
2016.0,"福田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"福田区",751.0,0.0,0.0,1.0,751.0,0.0,0.0,0.0,0.0,0.0
2018.0,"福田区",1006.0,0.0,0.0,1.0,1006.0,0.0,0.0,0.0,0.0,0.0
2019.0,"福田区",1041.0,0.0,0.0,1.0,1041.0,0.0,0.0,0.0,0.0,0.0
2016.0,"光明区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2017.0,"光明区",212.0,0.0,0.0,1.0,212.0,0.0,0.0,0.0,0.0,0.0
2018.0,"光明区",372.0,0.0,0.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0
2019.0,"光明区",395.0,0.0,0.0,1.0,395.0,0.0,0.0,0.0,0.0,0.0
2016.0,"龙岗区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"龙岗区",1385.0,0.0,0.0,1.0,1385.0,0.0,0.0,0.0,0.0,0.0
2018.0,"龙岗区",1812.0,0.0,1.0,1.0,1812.0,0.0,1.0,0.0,0.0,0.0
2019.0,"龙岗区",1895.0,0.0,2.0,1.0,1895.0,0.0,2.0,0.0,0.0,0.0
2016.0,"龙华区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"龙华区",443.0,0.0,0.0,1.0,443.0,0.0,0.0,0.0,0.0,0.0
2018.0,"龙华区",782.0,0.0,0.0,1.0,782.0,0.0,0.0,0.0,0.0,0.0
2019.0,"龙华区",845.0,0.0,0.0,1.0,845.0,0.0,0.0,0.0,0.0,0.0
2016.0,"罗湖区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"罗湖区",591.0,0.0,0.0,1.0,591.0,0.0,0.0,0.0,0.0,0.0
2018.0,"罗湖区",849.0,0.0,0.0,1.0,849.0,0.0,0.0,0.0,0.0,0.0
2019.0,"罗湖区",910.0,0.0,0.0,1.0,910.0,0.0,0.0,0.0,0.0,0.0
2016.0,"南山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"南山区",789.0,0.0,0.0,1.0,789.0,0.0,0.0,0.0,0.0,0.0
2018.0,"南山区",1019.0,0.0,0.0,1.0,1019.0,0.0,0.0,0.0,0.0,0.0
2019.0,"南山区",1123.0,0.0,0.0,1.0,1123.0,0.0,0.0,0.0,0.0,0.0
2016.0,"坪山区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2017.0,"坪山区",380.0,0.0,0.0,1.0,380.0,0.0,0.0,0.0,0.0,0.0
2018.0,"坪山区",584.0,0.0,0.0,1.0,584.0,0.0,0.0,0.0,0.0,0.0
2019.0,"坪山区",705.0,0.0,0.0,1.0,705.0,0.0,0.0,0.0,0.0,0.0
2016.0,"市级",67.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0
2017.0,"市级",1676.0,0.0,0.0,1.0,1676.0,0.0,0.0,0.0,0.0,0.0
2018.0,"市级",2169.0,0.0,0.0,1.0,2169.0,0.0,0.0,0.0,0.0,0.0
2019.0,"市级",2610.0,0.0,0.0,1.0,2610.0,0.0,0.0,0.0,0.0,0.0
2016.0,"盐田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"盐田区",205.0,0.0,0.0,1.0,205.0,0.0,0.0,0.0,0.0,0.0
2018.0,"盐田区",350.0,0.0,0.0,1.0,350.0,0.0,0.0,0.0,0.0,0.0
2019.0,"盐田区",388.0,0.0,0.0,1.0,388.0,0.0,0.0,0.0,0.0,0.0
